"","name","mean","sd","low","high","Information Ratio: BXM.Adjusted","Information Ratio: GSPC.Adjusted","Information Ratio: VBMFX.Adjusted","Information Ratio: VTSMX.Adjusted","Information Ratio: VGTSX.Adjusted","Information Ratio: tfp","Information Ratio: SPTR","Information Ratio: PUT","Information Ratio: CLL","Information Ratio: BXY"
"BXM.Adjusted","^BXM",0.00043463101798213,0.00547163921713719,-0.020288709810804,0.0232713209308528,NA,-1.90303481308342,0.694268362084661,-1.88627402461849,1.16413517263747,0.261690407475754,-2.45552104801783,-0.421553890803115,-0.930102646802142,-0.246481589976082
"GSPC.Adjusted","^GSPC",0.000751098613057059,0.00692280591981915,-0.0208847439882918,0.0240152218948875,1.90303481308342,NA,1.28974196353634,-0.558653769943771,2.57713900528448,1.96125419078698,-17.1510384680653,1.6456394078267,1.19566449443771,2.7728986131734
"VTSMX.Adjusted","VTSMX",0.000779415486661067,0.00713559798718599,-0.0218228498074455,0.0228355837966641,1.88627402461849,0.558653769943771,1.32104092442914,NA,2.65509221089176,2.03197546635641,-1.22344738905506,1.65187452878517,1.27552529362548,2.61799218289492
"VGTSX.Adjusted","VGTSX",0.000117862434274447,0.00660474800707356,-0.0205864004990644,0.0182887001959504,-1.16413517263747,-2.57713900528448,-0.141235888856996,-2.65509221089176,NA,-1.46946437425401,-2.95414806925736,-1.26883107051177,-1.98831424662974,-1.29810144765793
"BDJ.Adjusted","BDJ",0.00063386400309934,0.00699976894073514,-0.0262828535669587,0.0258064516129033,0.720207897440466,-0.465759279927499,1.02968018352756,-0.553879212914692,1.57192351406112,0.883328066510881,-0.807508779990924,0.601773568626804,0.131759812858479,0.637808902291825
"YCGEX.Adjusted","YCGEX",0.000702936438120309,0.00556764775455619,-0.0160128102481987,0.0215384615384615,1.52994801327135,-0.239082024851775,1.44938178034136,-0.359053421075725,2.3910159077666,1.93768741688696,-0.754222472875889,1.39490762385323,0.761084407312856,1.41846407712343
"GMRPX.Adjusted","GMRPX",8.28587370418779e-05,0.00610066861102821,-0.0251572327044024,0.0266524520255864,-1.46162914156424,-2.43016009092024,-0.224530566207655,-2.42575373950265,-0.109837230750257,-1.28596513851523,-2.77032311081719,-1.6642509617034,-2.03727777821016,-1.47593190829471
"GGE.Adjusted","GGE",0.000492327423486133,0.00960702643467972,-0.0738216922203294,0.0348348348348348,0.0549535334204281,-0.601303120735792,0.482695030311264,-0.649153051253815,0.617939866425957,0.142399081913,-0.789057735226535,-0.00268496550138788,-0.267157715552845,0.00518473356461601
"GTSOX.Adjusted","GTSOX",0.000402486710972798,0.0042039248815725,-0.0159262363788767,0.0208695652173914,-0.197990292326985,-1.49149728663848,0.779564207100828,-1.50623101493823,1.00855730046052,0.112306716938009,-1.88781801835284,-0.459640441596132,-0.954646036225272,-0.264395503865523
"CPRFX.Adjusted","CPRFX",0.000398264347246131,0.0047776542691555,-0.0190735694822888,0.0197433366238893,-0.135386286588332,-1.31454643070902,0.717239014664617,-1.37297015103157,0.997396324774213,0.0599408446539449,-1.658678918754,-0.258559560726125,-0.898213236923053,-0.218820786339857
