"","name","mean","sd","low","high","Information Ratio: BXM.Adjusted","Information Ratio: GSPC.Adjusted","Information Ratio: VBMFX.Adjusted","Information Ratio: VTSMX.Adjusted","Information Ratio: VGTSX.Adjusted","Information Ratio: tfp","Information Ratio: SPTR","Information Ratio: PUT","Information Ratio: CLL","Information Ratio: BXY"
"GATEX.Adjusted","GATEX",0.000274608798219784,0.00308242803551319,-0.0115567641060504,0.00857044909153237,-0.855286689168491,-1.95087961129303,0.456323592672109,-1.95547864558198,0.594897390104231,-0.883250409264991,-2.33308399403007,-1.10991817603943,-1.84392149296181,-0.825832985484917
"SPLV.Adjusted","SPLV",0.000911466295070812,0.00579068125259954,-0.0186752261453166,0.0202812330989723,2.51643239860043,0.972987007154918,2.0729005438143,0.742916068191578,2.92698579828952,2.98873945253176,0.488680188542895,2.39999448910988,1.99433106995055,2.4468108642751
"SCNUX.Adjusted","SCNUX",0.000684630076975226,0.00616896934916548,-0.0204678362573099,0.0204479065238561,1.21551453814123,-0.37897115875081,1.30883310782226,-0.522154619929004,2.20490255016515,1.67171178076066,-0.909104384938895,1.08245727190137,0.561525711631542,1.2046044759981
"SMLV.Adjusted","SMLV",0.000833236300664713,0.00774791854283056,-0.0206351529342894,0.0323930354973681,1.05453995772357,0.240768669087748,1.36519140225387,0.162483063743747,1.77300644738086,1.31522832918041,-0.0259088519041609,0.995153932921843,0.763041439618865,1.04936845905004
"LGLV.Adjusted","LGLV",0.000881131892809633,0.0057170008466902,-0.0159051474840948,0.0249311294765842,1.73284644751208,0.524713809117428,1.970897420815,0.410286640343468,2.45214244974465,2.1371611539132,0.205586137151668,1.67049581609259,1.22699408361473,1.59113918729914
"VLVCX.Adjusted","VLVCX",0.000542650570897546,0.00615992018425401,-0.0197132616487455,0.0238726790450927,0.746232765616074,-1.82364895821172,0.887547550053361,-1.7500166186496,1.72608953290592,0.879087759595294,-2.60429706788894,0.521370730111138,-0.375620735905762,0.823272543227353
"USMV.Adjusted","USMV",0.000902640126059473,0.00554489099695208,-0.0170454545454546,0.0185789605824755,3.29085793914342,1.27791922076275,2.07797223923165,0.931808326813613,3.20578926619071,3.70942639645543,0.611603081140095,3.0778868237402,2.60031658859902,3.34987746211814
"VDIGX.Adjusted","VDIGX",0.000787854395952705,0.00622139718867068,-0.0183234081539165,0.0251433612704013,2.27014515390283,0.432100087623915,1.5195747799403,0.124321343681317,2.96699564538195,2.50413809932394,-0.453717516421885,2.02369417847799,1.61127122390996,2.67294545466539
"VMNVX.Adjusted","VMNVX",0.000716164597643569,0.00427061660093836,-0.0125968992248062,0.0127485976542581,1.75759404052763,-0.114261195728852,1.86844006547468,-0.25574236202261,2.86825174893324,4.03189202691418,-0.598577950721148,1.6516553070799,1.09108049209022,1.51671411573514
"BRBPX.Adjusted","BRBPX",0.000359601821683373,0.00284116188355993,-0.0107296137339056,0.00918836140888213,-0.307165101919286,-1.45511933896446,0.855196350155872,-1.49960980059547,0.87026869715476,-0.149691907475744,-1.8025465060691,-0.473723574403645,-1.19031899967379,-0.361259840263571
"IRONX.Adjusted","IRONX",0.000334909076470968,0.00369737730613567,-0.0169971671388102,0.0191387559808613,-0.529073678399167,-1.61805059325285,0.61352605995019,-1.62686514668559,0.754631252510132,-0.294932107963779,-1.97923131018654,-0.73913895262222,-1.27785368192904,-0.538230572658571
"BPVLX.Adjusted","BPVLX",0.000173565942982833,0.0020129657562327,-0.00678952473326866,0.00785854616895865,-1.06074341535476,-1.92826322154409,0.0653460402992415,-1.94225340408082,0.230712938482859,-1.33841925530339,-2.24208311958221,-1.26978592631309,-2.05238244220528,-0.990841611224693
"BPAPX.Adjusted","BPAPX",0.000170375603907807,0.00207641558012901,-0.00579710144927537,0.0077071290944124,-1.10871413050198,-1.9836353769212,0.0466724974667387,-1.9985095146161,0.226784281765789,-1.4436415822944,-2.30492682599092,-1.32296159711016,-2.12986194325904,-1.02862568443149
"RNBWX.Adjusted","RNBWX",0.000186145203727301,0.00434213030019132,-0.0245649948822928,0.0183585313174945,-0.932097836923272,-1.91260964971041,0.057061014241887,-2.01749417357185,0.24805645759936,-1.01245956276664,-2.22802612610844,-1.09525992786674,-1.7369583853002,-0.941421758987623
"RGHIX.Adjusted","RGHIX",0.0003316612295841,0.00532649862074507,-0.0193308550185873,0.0154679040989947,-0.471429934000538,-1.7633403065751,0.437895111922184,-1.84236043441957,0.703055924646702,-0.294464184656416,-2.14469332066115,-0.617301264568214,-1.20375303580958,-0.556648734821307
"BXM.Adjusted","^BXM",0.00043463101798213,0.00547163921713719,-0.020288709810804,0.0232713209308528,NA,-1.90303481308342,0.694268362084661,-1.88627402461849,1.16413517263747,0.261690407475754,-2.45552104801783,-0.421553890803115,-0.930102646802142,-0.246481589976082
"GSPC.Adjusted","^GSPC",0.000751098613057059,0.00692280591981915,-0.0208847439882918,0.0240152218948875,1.90303481308342,NA,1.28974196353634,-0.558653769943771,2.57713900528448,1.96125419078698,-17.1510384680653,1.6456394078267,1.19566449443771,2.7728986131734
"VBMFX.Adjusted","VBMFX",0.000160720283165828,0.00176359603605156,-0.00478468899521522,0.00562324273664494,-0.694268362084661,-1.28974196353634,NA,-1.32104092442914,0.141235888856996,-0.750404511891629,-1.49622706503855,-0.810230353271058,-1.1864106489867,-0.668566094119215
"VBINX.Adjusted","VBINX",0.000527425767510724,0.00406473946532688,-0.0129189944134078,0.0129958960328318,0.657407050301534,-1.27017363290622,1.28063718797839,-1.36589587682471,1.72352901150704,2.21619311917513,-1.80194505190387,0.510379275781141,-0.554809022209432,0.468446913596276
"tfp","TFP",0.000384432340897839,0.00414152922190785,-0.014043622243586,0.0128934388405446,-0.261690407475754,-1.96125419078698,0.750404511891629,-2.03197546635641,1.46946437425401,NA,-2.45592356991405,-0.452022510175581,-1.67883089445256,-0.37578626726303
"SPTR","SPTR",0.000835446932469579,0.00692965753492404,-0.0208825113371551,0.0241727799416516,2.45552104801783,17.1510384680653,1.49622706503855,1.22344738905506,2.95414806925736,2.45592356991405,NA,2.16868475725605,1.87194693142008,3.64983275949907
"PUT","PUT",0.000460548761711803,0.00518817400401799,-0.0203174043617678,0.0223643296329126,0.421553890803115,-1.6456394078267,0.810230353271058,-1.65187452878517,1.26883107051177,0.452022510175581,-2.16868475725605,NA,-0.796344304599107,0.0316072573457114
"CLL","CLL",0.000587831655695709,0.00515880690438658,-0.0150469476615031,0.0239903008259452,0.930102646802142,-1.19566449443771,1.1864106489867,-1.27552529362548,1.98831424662974,1.67883089445256,-1.87194693142008,0.796344304599107,NA,0.907706086660937
"BXY","BXY",0.000463375632266444,0.00633180777897199,-0.0207919843409941,0.0241568756558777,0.246481589976082,-2.7728986131734,0.668566094119215,-2.61799218289492,1.29810144765793,0.37578626726303,-3.64983275949907,-0.0316072573457114,-0.907706086660937,NA
