Date,SPTR,PUT,CLL,BXY
2014-02-03,3127.865,1312.84,592.17,1351.34
2014-02-04,3151.937,1323.5,593.68,1361.75
2014-02-05,3146.494,1321.31,593.44,1359.44
2014-02-06,3187.252,1338.66,597.41,1377.05
2014-02-07,3229.644,1354.88,602.59,1395.16
2014-02-10,3234.786,1357.54,603.1,1397.44
2014-02-11,3270.739,1370.92,608.47,1412.86
2014-02-12,3271.47,1371.91,608.52,1413.35
2014-02-13,3290.819,1378.19,611.69,1421.69
2014-02-14,3306.92,1383.67,614.03,1428.56
2014-02-18,3311.275,1385.8,614.67,1430.63
2014-02-19,3289.834,1381.49,611.93,1421.44
2014-02-20,3310.267,1388.64,614.65,1430.28
2014-02-21,3304.364,1388.14,613.59,1428.93
2014-02-24,3324.839,1392.24,616.76,1436.51
2014-02-25,3320.43,1392.24,615.9,1434.95
2014-02-26,3321.149,1392.7,616.1,1435.49
2014-02-27,3338.051,1397.41,618.98,1441.72
2014-02-28,3347.376,1397.18,620.65,1444.67
2014-03-03,3322.852,1391.94,616.44,1436.18
2014-03-04,3373.639,1401.05,625.27,1452.88
2014-03-05,3374.1,1401.89,625.29,1453.55
2014-03-06,3380.492,1402.43,626.42,1455.27
2014-03-07,3382.573,1402.66,626.84,1456.48
2014-03-10,3381.219,1403.81,626.42,1457.29
2014-03-11,3364.172,1402.93,623.27,1453.03
2014-03-12,3366.072,1403.59,623.68,1454.79
2014-03-13,3327.109,1397.05,616.7,1440.42
2014-03-14,3317.805,1392.99,615.12,1436.47
2014-03-17,3349.712,1403.86,620.48,1450.57
2014-03-18,3373.983,1406.87,624.93,1459.96
2014-03-19,3353.294,1406.77,621.09,1452.83
2014-03-20,3373.599,1407.75,624.83,1461.85
2014-03-21,3363.719,1400.91,624.67,1452.85
2014-03-24,3347.362,1397.88,621.71,1446.8
2014-03-25,3362.441,1403.72,623.43,1453.11
2014-03-26,3339,1396.29,620.48,1443.42
2014-03-27,3333.234,1394.48,619.43,1441.37
2014-03-28,3348.83,1399.21,621.36,1447.94
2014-03-31,3375.513,1407.86,624.54,1459.18
2014-04-01,3399.508,1413.47,627.74,1468.66
2014-04-02,3409.796,1415.7,629.11,1472.41
2014-04-03,3405.998,1415.25,628.07,1471.14
2014-04-04,3363.406,1406.99,622.47,1454.48
2014-04-07,3327.269,1395.52,617.78,1439.38
2014-04-08,3340.844,1400.94,619.22,1445.29
2014-04-09,3377.611,1412.87,623.95,1461.14
2014-04-10,3307.078,1387.75,614.76,1430.76
2014-04-11,3276.036,1376.35,611.97,1417.37
2014-04-14,3302.979,1387,614.31,1429.02
2014-04-15,3325.304,1396.32,617.12,1438.7
2014-04-16,3360.265,1411.18,621.25,1453.83
2014-04-17,3364.997,1409.74,621.33,1455.64
2014-04-21,3377.751,1412.59,622.65,1460.78
2014-04-22,3391.58,1415.01,624.41,1463.33
2014-04-23,3384.499,1414.7,623.36,1463
2014-04-24,3390.395,1417.27,623.55,1465.83
2014-04-25,3362.945,1410.87,620.24,1455.92
2014-04-28,3374.037,1414.13,621.37,1460.58
2014-04-29,3390.163,1416.32,624.38,1466.48
2014-04-30,3400.465,1419.05,625.24,1470.64
2014-05-01,3400.202,1420.01,624.91,1470.95
2014-05-02,3395.608,1420.66,624,1470.41
2014-05-05,3402.227,1422.12,624.85,1473.16
2014-05-06,3371.724,1417.9,620.15,1461.55
2014-05-07,3392.095,1421.55,623.06,1469.86
2014-05-08,3388.293,1421.74,622.43,1468.92
2014-05-09,3394.052,1424.36,622.99,1471.93
2014-05-12,3427.013,1426.87,628.09,1484.09
2014-05-13,3429.298,1427.16,628.46,1485.85
2014-05-14,3413.841,1427.11,625.8,1480.63
2014-05-15,3382.522,1426.47,620.84,1467.41
2014-05-16,3395.209,1429.6,622.57,1471.63
2014-05-19,3408.523,1432.55,624.62,1476.55
2014-05-20,3386.484,1429.29,620.95,1469.87
2014-05-21,3414.447,1434.41,625.42,1479.33
2014-05-22,3422.992,1435.62,626.76,1481.39
2014-05-23,3437.582,1438.45,629.11,1486.09
2014-05-27,3458.193,1440.78,632.58,1491.8
2014-05-28,3454.877,1441.21,631.93,1491
2014-05-29,3473.857,1442.53,635.32,1495.41
2014-05-30,3480.288,1443.34,636.41,1497.06
2014-06-02,3483.136,1443.87,636.95,1498.15
2014-06-03,3482.002,1443.83,636.72,1497.96
2014-06-04,3489.211,1443.99,638.03,1498.78
2014-06-05,3512.212,1445.05,642.12,1502.02
2014-06-06,3528.979,1445.75,645.12,1504.87
2014-06-09,3532.465,1445.79,645.71,1505.13
2014-06-10,3531.619,1445.87,645.57,1504.37
2014-06-11,3519.521,1445.89,643.37,1505.25
2014-06-12,3495.568,1445.43,639.1,1502.94
2014-06-13,3506.582,1445.6,641.06,1504.55
2014-06-16,3509.537,1446.07,641.53,1505.48
2014-06-17,3517.232,1446.01,642.94,1505.13
2014-06-18,3544.417,1446.31,647.89,1506.75
2014-06-19,3549.444,1446.36,648.78,1506.97
2014-06-20,3555.604,1445.81,649.83,1505.52
2014-06-23,3555.138,1446.64,649.59,1505.65
2014-06-24,3532.57,1441.2,646.48,1496.47
2014-06-25,3549.958,1445.74,648.78,1503.67
2014-06-26,3546.382,1445.08,648.18,1502.5
2014-06-27,3553.345,1447.27,649.1,1505.41
2014-06-30,3552.182,1447.72,648.82,1505.07
2014-07-01,3576.546,1452.41,652.35,1514.44
2014-07-02,3579.11,1453.05,652.5,1515.64
2014-07-03,3598.732,1455.69,655.43,1523.38
2014-07-07,3584.747,1454.58,653.36,1518.28
2014-07-08,3560.53,1450.89,649.84,1508.78
2014-07-09,3577.285,1454.5,652.17,1515.86
2014-07-10,3562.495,1452.46,650.23,1509.81
2014-07-11,3568.078,1454.25,650.83,1512.27
2014-07-14,3585.369,1457.3,653.14,1519.56
2014-07-15,3578.461,1457.23,652.07,1516.73
2014-07-16,3593.909,1458.62,654.28,1523.24
2014-07-17,3551.729,1454.85,649.55,1505.44
2014-07-18,3588.206,1460.51,653.71,1520.23
2014-07-21,3579.99,1459.77,652.42,1517.44
2014-07-22,3597.948,1463.21,654.93,1523.76
2014-07-23,3604.298,1464.49,655.83,1525.92
2014-07-24,3606.104,1464.94,656.05,1526.61
2014-07-25,3588.683,1462.2,653.4,1521.45
2014-07-28,3589.729,1463.33,653.27,1522.07
2014-07-29,3573.647,1460.75,650.79,1515.82
2014-07-30,3574.454,1461.09,650.9,1516.19
2014-07-31,3503.194,1439.72,641.62,1487.06
2014-08-01,3493.176,1437.1,640.39,1482.98
2014-08-04,3518.306,1448.29,642.49,1493.75
2014-08-05,3484.562,1434.15,639.14,1479.46
2014-08-06,3485.665,1435.42,638.43,1479.95
2014-08-07,3467.14,1427.94,636.08,1472.14
2014-08-08,3507.211,1444.14,641,1489.13
2014-08-11,3517.533,1448.52,641.59,1493.54
2014-08-12,3511.962,1446.84,640.53,1491.17
2014-08-13,3536.42,1456.98,643.56,1501.55
2014-08-14,3551.966,1463.34,645.92,1508.15
2014-08-15,3552.173,1472.26,646.09,1507.23
2014-08-18,3582.705,1481.83,650.57,1518.02
2014-08-19,3601.333,1484.71,653.65,1522.62
2014-08-20,3610.49,1485.78,655.11,1525.05
2014-08-21,3621.23,1487.13,656.85,1527.5
2014-08-22,3614.503,1486.97,655.58,1526.79
2014-08-25,3631.863,1489.35,658.47,1530.97
2014-08-26,3635.708,1489.93,659.06,1531.87
2014-08-27,3636.644,1490.05,659.23,1532.97
2014-08-28,3630.982,1489.89,658.27,1531.68
2014-08-29,3643.339,1490.81,660.39,1534.54
2014-09-02,3641.521,1491.74,660.01,1535.74
2014-09-03,3639.352,1491.78,659.58,1535.24
2014-09-04,3633.872,1491.09,658.59,1534.11
2014-09-05,3652.258,1492.59,661.88,1539.22
2014-09-08,3641.664,1492.63,659.85,1537.81
2014-09-09,3617.887,1490.9,655.76,1532.6
2014-09-10,3631.449,1492.55,658.07,1536.24
2014-09-11,3635.657,1493.13,658.78,1538.04
2014-09-12,3614.056,1491.83,654.98,1533.34
2014-09-15,3611.522,1492.21,654.4,1533.19
2014-09-16,3638.596,1494.29,659.19,1539.56
2014-09-17,3643.398,1494.63,660.02,1542.69
2014-09-18,3661.733,1494.94,663.32,1543.59
2014-09-19,3660.028,1493.09,662.76,1537.03
2014-09-22,3630.702,1485.6,659.07,1525.52
2014-09-23,3610.1,1479.27,657.04,1517.03
2014-09-24,3638.445,1488.41,660.05,1528.69
2014-09-25,3579.611,1469.57,653.08,1504.38
2014-09-26,3610.981,1480.06,656.79,1517.4
2014-09-29,3602.094,1477.52,656,1513.78
2014-09-30,3592.246,1475.94,654.76,1509.65
2014-10-01,3544.978,1457.71,649.54,1490.01
2014-10-02,3545.297,1457.94,648.94,1489.97
2014-10-03,3584.935,1473.84,652.78,1506.82
2014-10-06,3579.421,1472.2,652.03,1504.5
2014-10-07,3525.294,1450.33,646.58,1481.84
2014-10-08,3588.07,1475.09,652.88,1508.18
2014-10-09,3514.116,1445.12,645.64,1477.11
2014-10-10,3474.235,1429.86,642.6,1460.38
2014-10-13,3417.014,1406.27,638.55,1436.37
2014-10-14,3422.43,1410.62,638.33,1438.64
2014-10-15,3395.034,1399.67,636.28,1427.12
2014-10-16,3395.637,1397.2,635.91,1427.37
2014-10-17,3439.387,1406.55,637.97,1447.89
2014-10-20,3470.894,1415.89,640.19,1458.81
2014-10-21,3538.902,1426.72,646.4,1475.41
