,name,mean,sd,low,high,group
1,GATEX,0.000274609,0.003082428,-0.011556764,0.008570449,1
2,SPLV,0.000911466,0.005790681,-0.018675226,0.020281233,1
3,SCNUX,0.00068463,0.006168969,-0.020467836,0.020447907,1
4,SMLV,0.000833236,0.007747919,-0.020635153,0.032393035,1
5,LGLV,0.000881132,0.005717001,-0.015905147,0.024931129,1
6,VLVCX,0.000542651,0.00615992,-0.019713262,0.023872679,1
7,USMV,0.00090264,0.005544891,-0.017045455,0.018578961,1
8,VDIGX,0.000787854,0.006221397,-0.018323408,0.025143361,1
9,VMNVX,0.000716165,0.004270617,-0.012596899,0.012748598,1
10,BRBPX,0.000359602,0.002841162,-0.010729614,0.009188361,1
11,IRONX,0.000334909,0.003697377,-0.016997167,0.019138756,1
12,BPVLX,0.000173566,0.002012966,-0.006789525,0.007858546,1
13,BPAPX,0.000170376,0.002076416,-0.005797101,0.007707129,1
14,RNBWX,0.000186145,0.00434213,-0.024564995,0.018358531,1
15,RGHIX,0.000331661,0.005326499,-0.019330855,0.015467904,1
16,^BXM,0.000434631,0.005471639,-0.02028871,0.023271321,3
17,^GSPC,0.000751099,0.006922806,-0.020884744,0.024015222,3
18,VBMFX,0.00016072,0.001763596,-0.004784689,0.005623243,1
19,VTSMX,0.000779415,0.007135598,-0.02182285,0.022835584,2
20,VGTSX,0.000117862,0.006604748,-0.0205864,0.0182887,2
21,BDJ,0.000633864,0.006999769,-0.026282854,0.025806452,2
22,YCGEX,0.000702936,0.005567648,-0.01601281,0.021538462,2
23,GMRPX,8.29E-05,0.006100669,-0.025157233,0.026652452,2
24,GGE,0.000492327,0.009607026,-0.073821692,0.034834835,2
25,GTSOX,0.000402487,0.004203925,-0.015926236,0.020869565,2
26,CPRFX,0.000398264,0.004777654,-0.019073569,0.019743337,2
27,MCN,0.000507944,0.006705284,-0.017942584,0.026992288,2
28,JENHX,0.000840442,0.0077218,-0.04562982,0.031830239,2
29,GENIX,0.001012837,0.007337798,-0.020938023,0.027444254,2
30,CEMAX,8.67E-05,0.002432266,-0.01242236,0.007345226,2
31,VBINX,0.000527426,0.004064739,-0.012918994,0.012995896,3
32,TFP,0.000384432,0.004141529,-0.014043622,0.012893439,3
33,SPTR,0.000835447,0.006929658,-0.020882511,0.02417278,3
34,PUT,0.000460549,0.005188174,-0.020317404,0.02236433,3
35,CLL,0.000587832,0.005158807,-0.015046948,0.023990301,3
36,BXY,0.000463376,0.006331808,-0.020791984,0.024156876,3
