"","name","mean","sd","low","high","group"
"1","GATEX",0.000284606,0.003273551,-0.011556764,0.008570449,1
"2","SPLV",0.000869503,0.006167118,-0.018675226,0.020281233,1
"3","SCNUX",0.000655236,0.006486054,-0.020467836,0.020447907,1
"4","SMLV",0.000721383,0.008186596,-0.020635153,0.032393035,1
"5","LGLV",0.000816118,0.005963147,-0.015905147,0.024931129,1
"6","VLVCX",0.000532616,0.006562925,-0.019713262,0.023872679,1
"7","USMV",0.000903948,0.005860974,-0.017045455,0.018578961,1
"8","VDIGX",0.000764154,0.006683579,-0.018323408,0.025143361,1
"9","VMNVX",0.000780404,0.004549302,-0.012596899,0.013193813,1
"10","BRBPX",0.000402851,0.002998112,-0.010729614,0.009188361,1
"11","IRONX",0.000340664,0.003815157,-0.016997167,0.019138756,1
"12","BPVLX",0.000182471,0.002220236,-0.006789525,0.007858546,1
"13","BPAPX",0.000179171,0.002295943,-0.007582938,0.007707129,1
"14","RNBWX",0.000256406,0.004545779,-0.024564995,0.018358531,1
"15","RGHIX",0.000393505,0.005658259,-0.020164302,0.019756839,1
"16","^BXM",0.000412058,0.005555574,-0.02028871,0.023271321,3
"17","^GSPC",0.000739904,0.007309129,-0.020884744,0.024015222,3
"18","VBMFX",0.000162663,0.001943629,-0.006346328,0.006346328,1
"19","VTSMX",0.000785609,0.007481817,-0.02182285,0.022835584,2
"20","VGTSX",0.000280851,0.006892201,-0.0205864,0.0182887,2
"21","BDJ",0.000644627,0.007078135,-0.026282854,0.025806452,2
"22","YCGEX",0.000746439,0.005960997,-0.01601281,0.021538462,2
"23","GMRPX",0.000169828,0.006096289,-0.025157233,0.026652452,2
"24","GGE",0.000473832,0.009454369,-0.073821692,0.034834835,2
"25","GTSOX",0.000386364,0.004207171,-0.015926236,0.020869565,2
"26","CPRFX",0.00047968,0.005221569,-0.019073569,0.019743337,2
"27","MCN",0.000533923,0.006967132,-0.017942584,0.026992288,2
"28","JENHX",0.000834203,0.007995391,-0.04562982,0.031830239,2
"29","GENIX",0.000943351,0.007792089,-0.020938023,0.027444254,2
"30","CEMAX",0.000216226,0.002641727,-0.01242236,0.018,2
"31","VBINX",0.000530848,0.004191992,-0.012918994,0.012995896,3
"32","TFP",0.000410662,0.004416833,-0.014450514,0.013129984,3
